source,target,classifier,strategy,run_type,budget,macro_f1,macro_f1_sd,recovery,n_seeds,rec_lo,rec_hi
electronics,books,logreg,self_training,target_only,2000,0.9025403809065947,0.005004499355089745,0.9878805304150792,5,0.9490490137756955,1.030938075943192
electronics,books,logreg,self_training,transfer,50,0.8070716060494287,0.0376345528418726,-0.03844701704815344,5,-0.3465534452679964,0.26965941117168957
electronics,books,logreg,self_training,transfer,100,0.815030486442863,0.024588886553977573,0.04711413325431531,5,-0.1558382270504805,0.23264751578361248
electronics,books,logreg,self_training,transfer,250,0.8405258643195536,0.02235993446929648,0.32119965165529046,5,0.13758486934290728,0.49922383021757355
electronics,books,logreg,self_training,transfer,500,0.8600213483355764,0.016907193943505393,0.5307839091961368,5,0.3791488768858833,0.6594750719521152
electronics,books,logreg,self_training,transfer,1000,0.8838887830689666,0.008778465148323462,0.7873683871137397,5,0.7152925895546431,0.8594093262970836
electronics,books,logreg,self_training,transfer,2000,0.9028612265293632,0.005501355346421005,0.9913297492997122,5,0.9456018486719941,1.0370576499274302
electronics,books,logreg,uncertainty,target_only,50,0.6533901917210164,0.03876077130709875,-1.69058374232133,5,-2.0324754414490362,-1.4313675021296843
electronics,books,logreg,uncertainty,target_only,100,0.6566204420688743,0.051315160550958784,-1.65585725795857,5,-2.157546386553513,-1.2951987091939465
electronics,books,logreg,uncertainty,target_only,250,0.7194031974905152,0.03484147830450191,-0.9809175041879674,5,-1.2967891811761412,-0.6996031021092615
electronics,books,logreg,uncertainty,target_only,500,0.772362728996432,0.016766607470271352,-0.4115813399123713,5,-0.5616492101243942,-0.28560554012869327
electronics,books,logreg,uncertainty,target_only,1000,0.8724241068423495,0.007973066640821595,0.6641185281757973,5,0.5876831531191198,0.7220685614464254
electronics,books,logreg,uncertainty,target_only,2000,0.9031867255330113,0.0026327735823430875,0.9948289938916298,5,0.9714800946981097,1.0155095105704446
electronics,books,logreg,uncertainty,transfer,50,0.8225568327711006,0.013353725297421517,0.12802536920529345,5,0.03332613616887338,0.2486302257578769
electronics,books,logreg,uncertainty,transfer,100,0.8413839314539684,0.008118963400833014,0.3304242168488867,5,0.2643599411007143,0.3973796806550512
electronics,books,logreg,uncertainty,transfer,250,0.855986615093404,0.004201859784619703,0.4874089116715254,5,0.45801428244593784,0.525368943809346
electronics,books,logreg,uncertainty,transfer,500,0.8875102022410152,0.0038411917815369687,0.8263000929279783,5,0.792710197530368,0.8564378441177419
electronics,books,logreg,uncertainty,transfer,1000,0.8929957413917862,0.01840173848524349,0.8852718347519148,5,0.7127522672682607,1.0095242062326621
electronics,books,logreg,uncertainty,transfer,2000,0.9041452313038694,0.004820878355444494,1.0051333146342605,5,0.9610344659315416,1.043930823816342
electronics,books,svm,random,target_only,50,0.6170243798552371,0.08729206545781361,-1.9911916102751075,5,-2.6685926807437736,-1.2296487532629918
electronics,books,svm,random,target_only,100,0.734861181475278,0.045098929099918666,-0.7632539545482945,5,-1.1179005730055789,-0.41880543309483304
electronics,books,svm,random,target_only,250,0.8230608366036624,0.014321558535285722,0.1558449709595603,5,0.04501963030219611,0.26541185625047004
electronics,books,svm,random,target_only,500,0.85412751119677,0.017852005274423377,0.4795803324648257,5,0.34105294929507013,0.6181077156345812
electronics,books,svm,random,target_only,1000,0.8873947274750751,0.003679802371399644,0.8262467983543036,5,0.7994104840406009,0.8590479029869768
electronics,books,svm,random,target_only,2000,0.9022247642206812,0.003450638174129232,0.9807856207373173,5,0.9524799434190369,1.0108370358422625
electronics,books,svm,random,transfer,50,0.8210816150093896,0.008450503873412441,0.1352201687651505,5,0.07044550141132673,0.2053221650305978
electronics,books,svm,random,transfer,100,0.8230191173853327,0.011114185400479214,0.15541022902452717,5,0.06579306914467961,0.24263169983039923
electronics,books,svm,random,transfer,250,0.8410373913764054,0.013727750114542558,0.3431725988500689,5,0.2314332788810458,0.46146519422324267
electronics,books,svm,random,transfer,500,0.8606671677077756,0.009174277301887433,0.5477278922677138,5,0.47375374867276177,0.6164730146722474
electronics,books,svm,random,transfer,1000,0.8922099287477909,0.0057019443409636475,0.8764243904255548,5,0.8323234767112009,0.9215110073281945
electronics,books,svm,random,transfer,2000,0.9016608779274288,0.006922714546335626,0.9749095514320292,5,0.9154157906668379,1.0283753074492343
electronics,books,svm,self_training,target_only,50,0.5122493485704301,0.18091669520716835,-3.083016952831658,5,-4.3734619617345185,-1.3833257147668934
electronics,books,svm,self_training,target_only,100,0.5014444961447125,0.0412192350414212,-3.1956106839555796,5,-3.552680836627142,-2.9114003642009285
electronics,books,svm,self_training,target_only,250,0.6850481998788635,0.1285700085468167,-1.2823382729049226,5,-2.291951832352118,-0.23556009551938467
electronics,books,svm,self_training,target_only,500,0.8063593137291578,0.10199983365108325,-0.018195978587894724,5,-0.9583407568296266,0.7073545377021551
electronics,books,svm,self_training,target_only,1000,0.889619928840558,0.005547451385793915,0.8494348729683925,5,0.8003615507004159,0.8912020170272573
electronics,books,svm,self_training,target_only,2000,0.9019821185965435,0.003692787187076117,0.9782570923422853,5,0.9490414197057866,1.010755927710617
